"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Credit Score Alpha","Executive Gender","Executive Title","Fax Number Combined","IUSA Number","Location Employee Size Range","Location Sales Volume Range","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","Record Type"
"18th Street Commissary Inc","Ma","Beach","3334 18th St","San Francisco","CA","94110","A","Female","General Mgr","","68-879-9550","20 to 49","$10-20 Million","(415) 436-9390","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"6001 California Market","Shelley","Wienke","6001 California St","San Francisco","CA","94121","B+","Female","Owner","4152217602","10-242-7333","10 to 19","$2.5-5 Million","(415) 221-7600","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"60th Force Support Marketing","","","510 Airlift Dr","Travis AFB","CA","94535","B","","","","40-036-1270","5 to 9","$1-2.5 Million","(707) 424-5892","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"99 Cents Only Stores","Christi","Yu","2515 Somersville Rd","Antioch","CA","94509","A+","Female","Site Manager","","37-501-8504","20 to 49","$5-10 Million","(925) 757-8999","533101","Variety Stores","533101","Variety Stores","Verified"
"99 Cents Only Stores","Jeantte","Gallegos","1941 San Pablo Ave","Berkeley","CA","94702","A","Female","Site Manager","","66-900-2198","20 to 49","$5-10 Million","(510) 704-1799","533101","Variety Stores","533101","Variety Stores","Verified"
"99 Cents Only Stores","Susana","Cortez","1701 Willow Pass Rd # A","Concord","CA","94520","A","Female","Site Manager","","62-842-3725","20 to 49","$5-10 Million","(925) 687-2996","533101","Variety Stores","533101","Variety Stores","Verified"
"99 Cents Only Stores","Monica","Canales","4665 Clayton Rd","Concord","CA","94521","A","Female","Regional Mgr","","39-502-3245","20 to 49","$5-10 Million","(925) 674-9799","533101","Variety Stores","533101","Variety Stores","Verified"
"99 Cents Only Stores","","","41989 Fremont Blvd","Fremont","CA","94538","A","","","","70-706-1017","20 to 49","$5-10 Million","(510) 353-9512","533101","Variety Stores","533101","Variety Stores","Verified"
"99 Cents Only Stores","","","260 E 10th St","Gilroy","CA","95020","A","","","","41-008-4765","20 to 49","$10-20 Million","(408) 848-4502","533101","Variety Stores","533101","Variety Stores","Verified"
"99 Cents Only Stores","Brent","Lindsay","20882 Mission Blvd","Hayward","CA","94541","A+","Male","Manager","","36-618-7458","50 to 99","$10-20 Million","(510) 276-9960","533101","Variety Stores","533101","Variety Stores","Verified"
"99 Cents Only Stores","","","1490 Railroad Ave","Livermore","CA","94550","A","","","","72-794-2236","20 to 49","$5-10 Million","(925) 454-0217","533101","Variety Stores","533101","Variety Stores","Verified"
"99 Cents Only Stores","Norma","Ramirez","620 San Pablo Ave # D","Pinole","CA","94564","A","Female","Site Manager","","24-638-8227","20 to 49","$5-10 Million","(510) 964-9906","533101","Variety Stores","533101","Variety Stores","Verified"
"99 Cents Only Stores","Alex","Borodin","3600 Klose Way","Richmond","CA","94806","A","Male","Site Manager","","68-864-4095","20 to 49","$5-10 Million","(510) 262-0672","533101","Variety Stores","533101","Variety Stores","Verified"
"99 Cents Only Stores","Miguel","Jeremillo","1915 W San Carlos St","San Jose","CA","95128","A","Male","Site Manager","","40-251-4904","20 to 49","$10-20 Million","(408) 971-1501","533101","Variety Stores","533101","Variety Stores","Verified"
"99 Cents Only Stores","Sam","Wije","699 Lewelling Blvd # 50","San Leandro","CA","94579","A+","Male","Site Manager","","22-275-2222","50 to 99","$10-20 Million","(510) 351-0999","533101","Variety Stores","533101","Variety Stores","Verified"
"99 Cents Only Stores","","","551 Peabody Rd","Vacaville","CA","95687","A","","","7074469994","61-846-0844","20 to 49","$5-10 Million","(707) 446-9994","533101","Variety Stores","533101","Variety Stores","Verified"
"99 Cents Only Stores","Marconi","Narvaez","3684 Sonoma Blvd","Vallejo","CA","94590","A","","Manager","","70-699-0476","20 to 49","$5-10 Million","(707) 553-1083","533101","Variety Stores","533101","Variety Stores","Verified"
"99 Cents Only Stores","Carson","Siswang","42 Springstowne Ctr","Vallejo","CA","94591","A+","Male","Site Manager","7075538509","38-817-4856","20 to 49","$5-10 Million","(707) 553-8509","533101","Variety Stores","533101","Variety Stores","Verified"
"99 Ranch Market","","","1795 Willow Pass Rd","Concord","CA","94520","B","","","9258252004","67-486-3824","1 to 4","Less Than $500,000","(925) 798-8899","531104","Retail Shops","531104","Retail Shops","Verified"
"99 Ranch Market","","","10425 S DE Anza Blvd","Cupertino","CA","95014","B","","","","42-625-8740","1 to 4","$500,000-1 Million","(408) 856-2899","531104","Retail Shops","531104","Retail Shops","Verified"
"99 Ranch Market","Kin Lurt","Fong","10983 N Wolfe Rd","Cupertino","CA","95014","A+","Male","General Mgr","4083433688","90-662-4291","50 to 99","$10-20 Million","(408) 532-8899","531104","Retail Shops","531104","Retail Shops","Verified"
"99 Ranch Market","Kent","She","250 Skyline Plz","Daly City","CA","94015","A+","Male","General Mgr","","96-948-3627","100 to 249","$20-50 Million","(650) 419-8899","531104","Retail Shops","531104","Retail Shops","Verified"
"99 Ranch Market","","","1070 Foster City Blvd","Foster City","CA","94404","B+","","","6503589989","24-406-8029","1 to 4","$500,000-1 Million","(650) 358-8999","531104","Retail Shops","531104","Retail Shops","Verified"
"99 Ranch Market","","","7070 Foster City Blvd","Foster City","CA","94404","B","","","","44-035-3923","1 to 4","$500,000-1 Million","(650) 358-8999","531104","Retail Shops","531104","Retail Shops","Verified"
"99 Ranch Market","Danny","Tse","34444 Fremont Blvd","Fremont","CA","94555","A+","Male","General Mgr","5107901046","17-815-9729","50 to 99","$10-20 Million","(510) 791-8899","531104","Retail Shops","531104","Retail Shops","Verified"
"99 Ranch Market","Kelly","Lee","46881 Warm Springs Blvd","Fremont","CA","94539","B","Female","General Mgr","5105808898","40-994-0849","1 to 4","$500,000-1 Million","(510) 580-8899","531104","Retail Shops","531104","Retail Shops","Verified"
"99 Ranch Market","Andy","Chang","338 Barber Ln","Milpitas","CA","95035","A+","Male","General Mgr","4084745020","93-354-3126","100 to 249","$20-50 Million","(408) 946-8899","531104","Retail Shops","531104","Retail Shops","Verified"
"99 Ranch Market","Kelly","Lee","1350 Grant Rd","Mountain View","CA","94040","B","Female","Site Manager","6509618899","67-220-6687","1 to 4","$500,000-1 Million","(650) 966-8899","531104","Retail Shops","531104","Retail Shops","Verified"
"99 Ranch Market","Chih Ping","Lee","35219 Newark Blvd # B","Newark","CA","94560","A+","Male","General Mgr","5107921289","24-574-2952","50 to 99","$5-10 Million","(510) 792-1899","531104","Retail Shops","531104","Retail Shops","Verified"
"99 Ranch Market","","","2701 Stoneridge Dr","Pleasanton","CA","94588","B+","","","","75-052-6210","1 to 4","$500,000-1 Million","(925) 594-6899","531104","Retail Shops","531104","Retail Shops","Verified"
"99 Ranch Market","Danny","Li","4299 Rosewood Dr","Pleasanton","CA","94588","B","Male","General Mgr","9252510502","69-732-5801","1 to 4","$500,000-1 Million","(925) 463-8899","531104","Retail Shops","531104","Retail Shops","Verified"
"99 Ranch Market","David","Lee","7333 Regional St","Pleasanton","CA","94568","B","Male","General Mgr","9254799000","66-215-5282","1 to 4","$500,000-1 Million","(925) 463-8899","531104","Retail Shops","531104","Retail Shops","Verified"
"99 Ranch Market","","","3288 Pierce St # 99","Richmond","CA","94804","A+","","","5108149299","98-873-9074","100 to 249","$10-20 Million","(510) 769-8899","531104","Retail Shops","531104","Retail Shops","Verified"
"99 Ranch Market","Edwin","See","1688 Hostetter Rd # E","San Jose","CA","95131","A+","Male","General Mgr","4084367738","45-233-8478","100 to 249","$20-50 Million","(408) 436-8899","531104","Retail Shops","531104","Retail Shops","Verified"
"A & C Foods","","","1117 Montague Expy","Milpitas","CA","95035","A","","","","25-889-0003","20 to 49","$5-10 Million","(408) 956-9071","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"ABC Supermarket Inc","","","641 Broadway","San Francisco","CA","94133","B","","","","38-897-9494","1 to 4","$500,000-1 Million","(415) 398-3966","531104","Retail Shops","531104","Retail Shops","Verified"
"Abco Laboratories","Allen","Baron","2445 S Watney Way","Fairfield","CA","94533","A","Male","CEO","7074322240","00-092-2781","100 to 249","$20-50 Million","(707) 399-9775","209998","Food Preparations NEC (Mfrs)","209998","Food Preparations NEC (Mfrs)","Verified"
"Aisle 1 Gas","Bob","Baker","2681 Blanding Ave","Alameda","CA","94501","B","Male","Director","","70-647-4503","1 to 4","$500,000-1 Million","(510) 748-0112","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Alameda Natural Grocery","Donna","Layburn","1650 Park St # L","Alameda","CA","94501","A","Female","Owner","5105221473","98-918-5616","20 to 49","$2.5-5 Million","(510) 865-1500","549901","Health & Diet Foods-Retail","549901","Health & Diet Foods-Retail","Verified"
"Albertsons Co Inc","Robert G","Miller","11555 Dublin Canyon Rd","Pleasanton","CA","94588","B","Male","CEO","","70-052-7994","100 to 249","$20-50 Million","(925) 226-5000","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"All American Food Co","Macy","Kaye","360 Harbor Way","South San Francisco","CA","94080","A","Female","Sales","","71-248-1179","5 to 9","$10-20 Million","(650) 692-6335","514101","Food Products (Whls)","514101","Food Products (Whls)","Verified"
"All Discount","","","4114 Monterey Hwy","San Jose","CA","95111","C","","","","64-296-3524","1 to 4","Less Than $500,000","(408) 363-1635","531104","Retail Shops","531104","Retail Shops","Verified"
"Allied Food Distributors Inc","Jim","Scharette","1225 California Ave","Pittsburg","CA","94565","A","Male","Owner","9254329860","53-057-6867","50 to 99","$20-50 Million","(925) 432-1625","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Amazon Go","","","3 Embarcadero Ctr # Joeyjoey","San Francisco","CA","94111","C","","","","74-712-7096","1 to 4","$500,000-1 Million","(888) 280-4331","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Amazon Go","","","575 Market St # 150","San Francisco","CA","94105","C","","","","74-270-5715","1 to 4","$500,000-1 Million","(888) 280-4331","541103","Convenience Stores","541103","Convenience Stores","Verified"
"Andronico's Community Markets","Jonathan","North","1550 Shattuck Ave","Berkeley","CA","94709","A","Male","Director","5108413042","83-454-1468","100 to 249","$20-50 Million","(510) 841-7946","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Andronico's Community Markets","John","Spain","1850 Solano Ave","Berkeley","CA","94707","A+","Male","Director","5105248671","40-478-0629","100 to 249","$20-50 Million","(510) 524-1673","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Andronico's Community Markets","Enrique","Sanchez","690 Fremont Ave","Los Altos","CA","94024","A+","Male","General Mgr","","69-702-0154","50 to 99","$20-50 Million","(650) 948-6648","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Andronico's Community Markets","Theresa","Goodwin","100 Center Blvd","San Anselmo","CA","94960","A+","Female","Sales Exec","4154558502","90-724-3463","50 to 99","$10-20 Million","(415) 455-8186","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Andronico's Community Markets","","","1200 Irving St","San Francisco","CA","94122","B+","","","","72-330-1358","100 to 249","$20-50 Million","(415) 661-3220","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Andy's Produce Markets","Kim","Heing","1691 Gravenstein Hwy N","Sebastopol","CA","95472","A","Female","Manager","7078235358","85-858-6902","50 to 99","$10-20 Million","(707) 823-8661","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Apatzingan Market","Rosendo","Chavez","901 N 13th","San Jose","CA","95112","B+","Male","Owner","","40-217-8970","10 to 19","$2.5-5 Million","(408) 297-1163","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
"Arteaga's Food Ctr","Alonzo","Lopez","6906 Automall Pkwy","Gilroy","CA","95020","A","Male","President","4088476383","59-443-1181","50 to 99","$10-20 Million","(408) 847-7542","541105","Grocers-Retail","541105","Grocers-Retail","Verified"
