time,min,mean,max,std,count
2006-12-31 00:00:00+00:00,2499.6348,2499.6348,2499.6348,,1
2007-12-31 00:00:00+00:00,2542.537,2542.537,2542.537,,1
2008-12-31 00:00:00+00:00,2578.5493,2578.5493,2578.5493,,1
2009-12-31 00:00:00+00:00,2480.1597,2480.1597,2480.1597,,1
2010-12-31 00:00:00+00:00,2472.214,2472.214,2472.214,,1
2011-12-31 00:00:00+00:00,2437.0337,2437.0337,2437.0337,,1
2012-12-31 00:00:00+00:00,2383.8164,2383.8164,2383.8164,,1
2013-12-31 00:00:00+00:00,2482.6948,2482.6948,2482.6948,,1
2014-12-31 00:00:00+00:00,2452.3296,2452.3296,2452.3296,,1
2015-12-31 00:00:00+00:00,2348.331,2348.331,2348.331,,1
2016-12-31 00:00:00+00:00,2416.8564,2416.8564,2416.8564,,1
2017-12-31 00:00:00+00:00,2413.5269,2413.5269,2413.5269,,1
2018-12-31 00:00:00+00:00,2392.4377,2392.4377,2392.4377,,1
2019-12-31 00:00:00+00:00,2313.9287,2313.9287,2313.9287,,1
2020-12-31 00:00:00+00:00,2339.8892,2339.8892,2339.8892,,1
2021-12-31 00:00:00+00:00,2351.4038,2351.4038,2351.4038,,1
2022-12-31 00:00:00+00:00,2359.4775,2359.4775,2359.4775,,1
2023-12-31 00:00:00+00:00,2298.6409,2298.6409,2298.6409,,1
2024-12-31 00:00:00+00:00,2269.7715,2269.7715,2269.7715,,1
2025-12-31 00:00:00+00:00,2361.719,2361.719,2361.719,,1
2026-12-31 00:00:00+00:00,2237.125,2237.125,2237.125,,1
2027-12-31 00:00:00+00:00,2311.329,2311.329,2311.329,,1
2028-12-31 00:00:00+00:00,2304.8188,2304.8188,2304.8188,,1
2029-12-31 00:00:00+00:00,2207.3325,2207.3325,2207.3325,,1
2030-12-31 00:00:00+00:00,2233.4346,2233.4346,2233.4346,,1
2031-12-31 00:00:00+00:00,2245.9473,2245.9473,2245.9473,,1
2032-12-31 00:00:00+00:00,2177.3772,2177.3772,2177.3772,,1
2033-12-31 00:00:00+00:00,2207.1633,2207.1633,2207.1633,,1
2034-12-31 00:00:00+00:00,2170.2346,2170.2346,2170.2346,,1
2035-12-31 00:00:00+00:00,2205.7542,2205.7542,2205.7542,,1
2036-12-31 00:00:00+00:00,2213.8137,2213.8137,2213.8137,,1
2037-12-31 00:00:00+00:00,2132.9258,2132.9258,2132.9258,,1
2038-12-31 00:00:00+00:00,2118.4382,2118.4382,2118.4382,,1
2039-12-31 00:00:00+00:00,2167.14,2167.14,2167.14,,1
2040-12-31 00:00:00+00:00,2201.3752,2201.3752,2201.3752,,1
2041-12-31 00:00:00+00:00,2131.649,2131.649,2131.649,,1
2042-12-31 00:00:00+00:00,2067.1177,2067.1177,2067.1177,,1
2043-12-31 00:00:00+00:00,2063.7146,2063.7146,2063.7146,,1
2044-12-31 00:00:00+00:00,2034.0737,2034.0737,2034.0737,,1
2045-12-31 00:00:00+00:00,2076.9324,2076.9324,2076.9324,,1
2046-12-31 00:00:00+00:00,2094.5798,2094.5798,2094.5798,,1
2047-12-31 00:00:00+00:00,2007.7682,2007.7682,2007.7682,,1
2048-12-31 00:00:00+00:00,2079.4758,2079.4758,2079.4758,,1
2049-12-31 00:00:00+00:00,2008.3986,2008.3986,2008.3986,,1
2050-12-31 00:00:00+00:00,2008.4156,2008.4156,2008.4156,,1
2051-12-31 00:00:00+00:00,1916.0105,1916.0105,1916.0105,,1
2052-12-31 00:00:00+00:00,1859.882,1859.882,1859.882,,1
2053-12-31 00:00:00+00:00,1895.4272,1895.4272,1895.4272,,1
2054-12-31 00:00:00+00:00,1864.1218,1864.1218,1864.1218,,1
2055-12-31 00:00:00+00:00,1901.3003,1901.3003,1901.3003,,1
2056-12-31 00:00:00+00:00,1979.5444,1979.5444,1979.5444,,1
2057-12-31 00:00:00+00:00,1953.1042,1953.1042,1953.1042,,1
2058-12-31 00:00:00+00:00,1848.9802,1848.9802,1848.9802,,1
2059-12-31 00:00:00+00:00,1825.8138,1825.8138,1825.8138,,1
2060-12-31 00:00:00+00:00,1920.2017,1920.2017,1920.2017,,1
2061-12-31 00:00:00+00:00,1894.4125,1894.4125,1894.4125,,1
2062-12-31 00:00:00+00:00,1852.9767,1852.9767,1852.9767,,1
2063-12-31 00:00:00+00:00,1939.9852,1939.9852,1939.9852,,1
2064-12-31 00:00:00+00:00,1868.9207,1868.9207,1868.9207,,1
2065-12-31 00:00:00+00:00,1829.8743,1829.8743,1829.8743,,1
2066-12-31 00:00:00+00:00,1783.7537,1783.7537,1783.7537,,1
2067-12-31 00:00:00+00:00,1841.2739,1841.2739,1841.2739,,1
2068-12-31 00:00:00+00:00,1891.5078,1891.5078,1891.5078,,1
2069-12-31 00:00:00+00:00,1835.9724,1835.9724,1835.9724,,1
2070-12-31 00:00:00+00:00,1872.1304,1872.1304,1872.1304,,1
2071-12-31 00:00:00+00:00,1877.7946,1877.7946,1877.7946,,1
2072-12-31 00:00:00+00:00,1760.8038,1760.8038,1760.8038,,1
2073-12-31 00:00:00+00:00,1808.4268,1808.4268,1808.4268,,1
2074-12-31 00:00:00+00:00,1810.862,1810.862,1810.862,,1
2075-12-31 00:00:00+00:00,1842.9813,1842.9813,1842.9813,,1
2076-12-31 00:00:00+00:00,1761.4043,1761.4043,1761.4043,,1
2077-12-31 00:00:00+00:00,1841.7411,1841.7411,1841.7411,,1
2078-12-31 00:00:00+00:00,1780.9597,1780.9597,1780.9597,,1
2079-12-31 00:00:00+00:00,1768.2458,1768.2458,1768.2458,,1
2080-12-31 00:00:00+00:00,1829.2736,1829.2736,1829.2736,,1
2081-12-31 00:00:00+00:00,1759.7758,1759.7758,1759.7758,,1
2082-12-31 00:00:00+00:00,1744.9263,1744.9263,1744.9263,,1
2083-12-31 00:00:00+00:00,1834.6108,1834.6108,1834.6108,,1
2084-12-31 00:00:00+00:00,1790.9512,1790.9512,1790.9512,,1
2085-12-31 00:00:00+00:00,1823.5723,1823.5723,1823.5723,,1
2086-12-31 00:00:00+00:00,1816.6707,1816.6707,1816.6707,,1
2087-12-31 00:00:00+00:00,1780.7775,1780.7775,1780.7775,,1
2088-12-31 00:00:00+00:00,1765.2379,1765.2379,1765.2379,,1
2089-12-31 00:00:00+00:00,1725.3218,1725.3218,1725.3218,,1
2090-12-31 00:00:00+00:00,1768.5071,1768.5071,1768.5071,,1
2091-12-31 00:00:00+00:00,1770.3102,1770.3102,1770.3102,,1
2092-12-31 00:00:00+00:00,1733.8457,1733.8457,1733.8457,,1
2093-12-31 00:00:00+00:00,1777.4994,1777.4994,1777.4994,,1
2094-12-31 00:00:00+00:00,1779.2303,1779.2303,1779.2303,,1
2095-12-31 00:00:00+00:00,1793.5356,1793.5356,1793.5356,,1
2096-12-31 00:00:00+00:00,1765.7966,1765.7966,1765.7966,,1
2097-12-31 00:00:00+00:00,1739.9672,1739.9672,1739.9672,,1
2098-12-31 00:00:00+00:00,1755.155,1755.155,1755.155,,1
2099-12-31 00:00:00+00:00,1734.1299,1734.1299,1734.1299,,1
2100-12-31 00:00:00+00:00,1706.845,1706.845,1706.845,,1
